timestamp,cpu_usage,ram_usage,disk_usage,process_count,new_processes,terminated_processes,login_success,login_failed,logoff_events,file_created,file_modified,file_deleted,file_renamed
2026-09-22T00:05:08.121905,99.6,90.4,55.9,240,0,0,38,0,12,1,0,0,0
2026-09-22T00:05:13.717647,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:05:19.904685,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:05:25.475390,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:05:31.399236,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:05:38.200634,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:05:43.531487,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:05:49.704483,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:05:55.082516,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:06:00.536713,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:06:06.021832,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:06:11.484218,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:06:16.824265,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:06:25.659286,99.6,90.4,55.9,240,0,0,38,0,12,1,0,0,0
2026-09-22T00:06:30.961767,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:06:36.413177,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:06:41.853301,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:06:47.409142,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:06:52.727924,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:06:58.141762,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
2026-09-22T00:07:03.426498,99.6,90.4,55.9,240,0,0,0,0,0,0,0,0,0
